bb,sport_id,np,hgnd,roe,hr,team_count,sb,player_id,avg,sf,sac,wo,hpop,so,gidp_opp,gidp,ppa,ab,hldr,d,tpa,g,h,ibb,go,sport_code,tb,ao,slg,cs,r,ops,t,hbp,rbi,babip,go_ao,hfly,obp,sport,lob,xbh
0,1,4,0,0,0,3,0,571710,.000,0,0,0,0,1,0,0,2.00,2,0,0,2,72,0,0,1,mlb,0,0,.000,0,0,.000,0,0,0,.000,1.00,0,.000,MLB,1,0
187,1,12697,202,31,120,5,5,543228,.247,31,2,5,7,816,492,86,3.76,3110,403,162,3380,915,767,15,757,mlb,1305,862,.420,0,377,.717,8,50,424,.293,0.88,155,.297,MLB,1447,290
252,1,8448,132,18,95,1,33,664023,.248,11,5,1,5,606,240,37,4.09,1781,189,89,2066,587,441,18,417,mlb,835,351,.469,15,265,.813,10,17,270,.317,1.19,115,.344,MLB,739,194
11,1,1394,18,2,0,1,0,543294,.103,0,33,0,0,178,52,3,3.45,358,15,5,404,188,37,0,132,mlb,42,46,.117,0,12,.252,0,2,16,.206,2.87,4,.135,MLB,194,5
14,1,795,10,0,4,2,3,641684,.170,2,0,1,0,63,17,4,4.16,165,11,8,191,89,28,0,32,mlb,50,44,.303,1,21,.575,1,10,15,.240,0.73,7,.272,MLB,71,13
644,1,24432,529,77,159,3,118,518792,.258,25,6,9,9,1101,918,93,3.90,5522,658,269,6260,1577,1422,24,1734,mlb,2246,1369,.407,40,781,.746,39,55,641,.295,1.27,226,.340,MLB,2252,467
7,1,323,5,3,2,1,0,664731,.197,0,1,0,1,17,11,2,4.04,71,7,2,80,30,14,0,20,mlb,24,21,.338,0,7,.617,1,1,9,.231,0.95,1,.278,MLB,33,5
38,1,2147,63,8,6,1,14,663538,.272,5,0,0,1,79,77,12,3.75,519,66,20,572,166,141,5,165,mlb,187,139,.360,6,61,.690,4,9,64,.308,1.19,11,.329,MLB,188,30
0,1,0,0,0,0,1,0,676714,,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,mlb,0,0,,0,0,.000,0,0,0,,,0,,MLB,0,0
0,1,118,1,0,0,1,0,643410,.071,0,1,0,0,14,4,1,4.07,28,1,0,29,35,2,0,13,mlb,2,1,.071,0,0,.143,0,0,0,.143,13.00,0,.071,MLB,21,0
20,1,1676,58,8,2,2,4,663611,.292,1,1,1,0,41,76,12,3.82,411,51,16,439,114,120,0,162,mlb,150,90,.365,3,46,.698,4,6,34,.320,1.80,11,.333,MLB,168,22
0,1,0,0,0,0,4,0,455119,,0,0,0,0,0,0,0,,0,0,0,0,84,0,0,0,mlb,0,0,,0,0,.000,0,0,0,,,0,,MLB,0,0
13,1,1114,30,1,1,7,0,489119,.158,0,30,0,0,80,58,4,3.28,297,15,8,340,157,47,0,167,mlb,58,37,.195,0,22,.389,0,0,15,.213,4.51,2,.194,MLB,174,9
0,1,209,1,0,0,1,0,621219,.060,0,4,0,0,35,6,0,3.87,50,2,1,54,49,3,0,11,mlb,4,5,.080,0,1,.140,0,0,0,.200,2.20,0,.060,MLB,31,1
13,1,595,15,0,5,1,7,666624,.261,2,1,1,0,43,16,1,3.94,134,12,8,151,33,35,0,35,mlb,62,24,.463,2,21,.789,2,1,15,.341,1.46,8,.327,MLB,47,15
2,1,70,1,0,1,3,0,596057,.143,0,0,0,0,5,0,0,4.38,14,1,0,16,27,2,0,5,mlb,5,2,.357,0,2,.607,0,0,2,.125,2.50,0,.250,MLB,8,1
86,1,3806,77,9,17,5,33,542364,.258,2,6,1,2,181,126,18,3.94,869,109,37,967,305,224,1,232,mlb,318,250,.366,15,105,.692,3,3,77,.308,0.93,36,.326,MLB,324,57
19,1,745,17,0,4,1,1,663845,.247,1,0,0,0,57,19,2,4.23,154,13,3,176,61,38,1,33,mlb,55,27,.357,0,21,.692,1,2,21,.362,1.22,8,.335,MLB,61,8
0,1,6,0,0,0,4,0,502085,.000,0,0,0,0,1,0,0,6.00,1,0,0,1,66,0,0,0,mlb,0,0,.000,0,0,.000,0,0,0,,,0,.000,MLB,1,0
0,1,3,0,0,0,1,0,621074,.000,0,0,0,0,1,0,0,3.00,1,0,0,1,19,0,0,0,mlb,0,0,.000,0,0,.000,0,0,0,,,0,.000,MLB,0,0
0,1,49,0,2,0,2,0,592716,.000,0,4,0,0,8,4,0,3.77,9,0,0,13,13,0,0,5,mlb,0,0,.000,0,0,.000,0,0,0,.000,5.00,0,.000,MLB,1,0
31,1,1916,45,5,22,3,2,643524,.276,2,0,1,0,92,70,10,3.69,485,56,30,519,132,134,3,123,mlb,232,138,.478,1,65,.798,1,1,76,.300,0.89,33,.320,MLB,202,53
299,1,16302,515,56,70,4,71,592743,.264,29,15,6,8,459,810,163,3.40,4430,527,200,4799,1216,1168,15,1712,mlb,1624,1253,.367,24,499,.679,23,26,444,.279,1.37,118,.312,MLB,1850,293
1,1,241,3,0,0,5,0,592767,.047,0,2,0,0,29,5,0,3.60,64,0,0,67,47,3,0,26,mlb,3,8,.047,0,1,.108,0,0,0,.086,3.25,0,.062,MLB,35,0
0,1,32,0,0,0,1,0,657006,.154,0,0,0,0,4,3,1,2.46,13,2,0,13,17,2,0,7,mlb,2,0,.154,0,3,.308,0,0,0,.222,7.00,0,.154,MLB,8,0
4,1,299,4,4,1,2,1,573186,.101,0,6,0,0,42,9,1,3.02,89,4,3,99,56,9,0,32,mlb,15,12,.169,0,9,.308,0,0,2,.174,2.67,1,.140,MLB,27,4
21,1,714,9,3,4,1,3,673548,.245,2,0,0,1,49,28,3,4.38,139,14,12,163,41,34,2,22,mlb,60,36,.432,2,20,.775,1,1,21,.341,0.61,10,.344,MLB,61,17
0,1,27,0,0,0,1,0,624522,.167,0,2,0,0,3,3,1,3.38,6,1,0,8,29,1,0,4,mlb,1,0,.167,0,0,.333,0,0,0,.333,4.00,0,.167,MLB,3,0
2,1,52,2,0,0,1,0,676369,.300,0,0,0,0,3,1,0,4.33,10,1,0,12,5,3,0,1,mlb,3,3,.300,0,1,.717,0,0,0,.429,0.33,0,.417,MLB,5,0
339,1,15554,388,32,100,7,238,542340,.256,17,25,3,3,1027,405,54,4.01,3478,373,161,3876,1018,891,10,1045,mlb,1390,593,.400,66,475,.723,19,16,340,.334,1.76,127,.324,MLB,1283,280
0,1,0,0,0,0,2,0,592858,,0,0,0,0,0,0,0,,0,0,0,0,62,0,0,0,mlb,0,0,,0,0,.000,0,0,0,,,0,,MLB,0,0
66,1,3095,31,4,46,3,8,621550,.228,1,1,0,3,277,75,13,4.28,645,62,29,723,214,147,2,94,mlb,314,130,.487,5,101,.795,0,9,108,.313,0.72,51,.308,MLB,336,75
361,1,19849,444,46,237,1,11,547989,.288,46,0,5,5,1024,804,155,3.88,4601,647,278,5116,1178,1327,54,1316,mlb,2348,1066,.510,5,649,.861,16,108,820,.322,1.23,231,.351,MLB,1837,531
110,1,11043,341,35,96,1,99,641313,.290,9,10,3,3,726,380,69,3.54,2970,382,157,3117,735,862,4,887,mlb,1339,557,.451,25,453,.769,16,18,307,.355,1.59,136,.319,MLB,1098,269
0,1,0,0,0,0,1,0,607481,,0,0,0,0,0,0,0,,0,0,0,0,19,0,0,0,mlb,0,0,,0,0,.000,0,0,0,,,0,,MLB,0,0
14,1,806,18,3,9,1,0,669394,.262,1,1,1,1,67,23,8,3.86,191,16,10,209,59,50,1,38,mlb,91,38,.476,0,25,.794,2,2,28,.353,1.00,15,.317,MLB,83,21
0,1,20,1,0,0,1,0,656302,.375,0,0,0,0,3,3,1,2.50,8,1,1,8,3,3,0,1,mlb,4,1,.500,0,1,.875,0,0,0,.600,1.00,1,.375,MLB,3,1
0,1,0,0,0,0,2,0,605195,,0,0,0,0,0,0,0,,0,0,0,0,162,0,0,0,mlb,0,0,,0,0,.000,0,0,0,,,0,,MLB,0,0
17,1,2160,35,9,0,2,1,456501,.101,2,90,0,0,178,121,6,3.30,545,18,1,655,287,55,0,336,mlb,56,74,.103,0,27,.232,0,1,18,.149,4.54,2,.129,MLB,314,1
75,1,5499,121,16,29,1,44,641553,.227,2,16,0,2,418,183,13,3.82,1314,137,63,1438,460,298,1,280,mlb,470,338,.358,14,159,.642,11,31,116,.310,0.83,38,.284,MLB,581,103
0,1,0,0,0,0,1,0,641582,,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,mlb,0,0,,0,0,.000,0,0,0,,,0,,MLB,0,0
104,1,7918,225,26,33,2,63,544725,.254,16,34,3,2,523,303,33,3.51,2081,237,82,2258,652,528,1,677,mlb,739,415,.355,17,270,.650,15,23,193,.321,1.63,64,.295,MLB,847,130
0,1,80,1,0,0,2,0,608337,.167,0,2,0,0,11,2,0,4.00,18,2,0,20,13,3,0,4,mlb,3,2,.167,0,1,.333,0,0,2,.429,2.00,0,.167,MLB,12,0
1,1,123,4,0,0,1,0,663853,.250,0,0,0,0,11,4,1,3.73,32,4,3,33,10,8,0,7,mlb,11,6,.344,0,4,.616,0,0,2,.381,1.17,0,.273,MLB,13,3
601,1,17167,244,16,174,4,12,518735,.238,32,3,6,2,958,499,104,4.23,3406,364,155,4062,1068,809,10,909,mlb,1500,830,.440,7,467,.793,7,20,520,.275,1.10,199,.352,MLB,1486,336
0,1,20,0,0,0,4,0,608665,.000,0,1,0,0,4,1,0,3.33,5,0,0,6,14,0,0,2,mlb,0,0,.000,0,0,.000,0,0,0,.000,2.00,0,.000,MLB,3,0
170,1,14195,326,38,65,5,90,543281,.271,32,28,9,4,595,528,62,3.58,3651,498,204,3968,1096,991,5,1007,mlb,1454,1164,.398,36,464,.715,32,86,360,.306,0.87,163,.317,MLB,1374,301
23,1,1508,33,6,5,2,4,656514,.262,1,5,1,0,87,47,10,4.01,340,47,20,376,124,89,2,117,mlb,124,53,.365,0,40,.685,0,7,40,.337,2.21,9,.321,MLB,142,25
1,1,17,0,1,0,4,0,521230,.000,0,0,0,0,1,0,0,5.67,2,0,0,3,29,0,0,1,mlb,0,0,.000,0,0,.333,0,0,0,.000,1.00,0,.333,MLB,0,0
60,1,3614,81,11,56,1,0,650391,.268,5,0,0,1,257,127,23,3.61,930,103,43,1000,243,249,0,256,mlb,464,173,.499,0,120,.813,2,5,164,.310,1.48,64,.314,MLB,397,101
0,1,350,9,0,0,3,1,523260,.163,1,9,0,0,27,11,0,3.37,92,6,4,104,189,15,0,43,mlb,19,17,.207,0,7,.385,0,2,5,.227,2.53,0,.179,MLB,29,4
0,1,7,0,0,0,1,0,656629,.000,0,0,0,0,0,0,0,7.00,1,0,0,1,4,0,0,1,mlb,0,0,.000,0,0,.000,0,0,0,.000,1.00,0,.000,MLB,0,0
0,1,61,0,0,0,2,0,625643,.059,0,2,0,0,11,2,0,3.21,17,1,0,19,18,1,0,7,mlb,1,0,.059,0,0,.118,0,0,0,.167,7.00,0,.059,MLB,13,0
12,1,1247,4,4,0,5,0,458681,.085,1,35,0,0,159,46,2,3.74,283,17,5,333,176,24,0,108,mlb,29,30,.102,0,15,.230,0,2,7,.192,3.60,3,.128,MLB,173,5
0,1,8,0,0,0,1,0,571917,.000,0,0,0,0,1,1,0,2.67,3,0,0,3,15,0,0,2,mlb,0,0,.000,0,0,.000,0,0,0,.000,2.00,0,.000,MLB,2,0
30,1,1901,36,3,9,2,1,624512,.245,3,9,0,1,105,73,8,3.57,485,66,32,532,182,119,0,139,mlb,178,134,.367,0,55,.660,0,4,36,.294,1.04,16,.293,MLB,195,41
32,1,1814,39,3,10,1,1,664901,.251,2,2,0,1,101,61,7,4.07,407,50,13,446,151,102,0,102,mlb,149,106,.366,2,53,.675,2,3,45,.309,0.96,12,.309,MLB,181,25
255,1,9979,183,10,73,2,28,660162,.257,9,3,1,0,717,248,13,4.12,2133,270,119,2420,568,548,5,425,mlb,920,459,.431,13,300,.772,17,20,260,.351,0.93,95,.341,MLB,863,209
259,1,13464,335,30,130,3,120,572041,.280,29,6,3,4,645,517,65,3.66,3354,451,207,3682,946,939,11,970,mlb,1600,880,.477,27,525,.812,32,34,437,.310,1.10,149,.335,MLB,1333,369
42,1,2615,71,7,31,1,26,673357,.296,5,0,2,0,176,112,11,3.45,700,105,38,758,177,207,2,152,mlb,340,170,.486,4,107,.827,1,9,110,.353,0.89,31,.341,MLB,306,70
0,1,4,0,0,0,2,0,614179,.000,0,0,0,0,0,0,0,4.00,1,0,0,1,9,0,0,1,mlb,0,0,.000,0,0,.000,0,0,0,.000,1.00,0,.000,MLB,0,0
0,1,0,0,0,0,1,0,644429,,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,mlb,0,0,,0,0,.000,0,0,0,,,0,,MLB,0,0
27,1,1443,21,2,15,1,0,657757,.229,1,0,1,1,74,46,9,4.40,297,26,13,328,98,68,0,74,mlb,126,82,.424,0,32,.723,0,3,44,.254,0.90,20,.299,MLB,146,28
55,1,2663,56,10,22,1,1,683734,.266,8,0,0,0,135,111,18,3.91,609,75,34,681,177,162,0,159,mlb,262,161,.430,1,79,.762,0,9,79,.304,0.99,31,.332,MLB,286,56
6,1,636,18,1,1,3,0,592826,.204,0,17,0,0,49,30,5,3.53,157,12,2,180,127,32,0,72,mlb,37,25,.236,0,9,.469,0,0,8,.290,2.88,2,.233,MLB,68,3
7,1,565,5,0,6,1,0,664874,.190,1,4,0,1,58,15,1,4.06,126,11,4,139,49,24,0,22,mlb,46,27,.365,0,20,.602,0,1,19,.286,0.81,7,.237,MLB,63,10
72,1,5198,142,18,33,3,6,546991,.267,11,11,2,5,262,232,39,3.49,1391,178,71,1490,570,371,6,468,mlb,551,337,.396,6,178,.699,5,5,156,.305,1.39,46,.303,MLB,606,109
52,1,2355,26,2,34,1,12,606157,.212,4,0,1,1,195,62,6,4.09,514,43,19,576,195,109,4,90,mlb,232,124,.451,3,73,.741,1,6,85,.260,0.73,39,.290,MLB,247,54
4,1,486,10,1,0,1,2,676480,.197,0,0,0,0,43,15,3,3.92,117,11,4,124,45,23,0,20,mlb,29,31,.248,1,8,.490,1,3,5,.311,0.65,2,.242,MLB,57,5
4,1,682,12,2,0,1,0,622491,.111,0,20,0,0,89,31,2,3.06,199,8,4,223,105,22,0,78,mlb,26,30,.131,0,8,.259,0,0,5,.200,2.60,2,.128,MLB,133,4
0,1,8,0,0,0,2,0,570666,.000,0,0,0,0,2,0,0,4.00,2,0,0,2,27,0,0,0,mlb,0,0,.000,0,0,.000,0,0,0,,,0,.000,MLB,2,0
1,1,35,1,0,0,2,0,669008,.125,0,0,0,0,2,2,1,3.89,8,0,0,9,4,1,0,5,mlb,1,0,.125,0,2,.347,0,0,0,.167,5.00,0,.222,MLB,2,0
3,1,509,5,1,0,7,0,446321,.066,0,10,0,0,63,12,0,3.80,121,3,0,134,203,8,0,51,mlb,8,9,.066,0,3,.155,0,0,3,.138,5.67,0,.089,MLB,48,0
116,1,7630,141,18,65,5,3,592273,.251,11,0,7,3,427,232,46,3.91,1808,231,114,1951,566,454,3,547,mlb,771,424,.426,5,203,.727,4,16,225,.293,1.29,79,.300,MLB,733,183
1,1,106,0,0,0,3,0,656413,.077,0,0,0,0,8,2,1,3.79,26,2,1,28,20,2,0,8,mlb,3,8,.115,0,4,.258,0,1,2,.111,1.00,0,.143,MLB,16,1
56,1,4280,86,7,30,2,11,571657,.261,10,2,1,0,220,166,30,3.80,1028,135,52,1127,394,268,3,256,mlb,416,299,.405,5,114,.720,3,31,143,.302,0.86,47,.316,MLB,462,85
9,1,524,8,0,1,1,5,670770,.223,4,0,0,0,20,17,2,3.85,121,15,5,136,43,27,0,29,mlb,39,49,.322,0,22,.602,2,2,9,.250,0.59,4,.279,MLB,46,8
10,1,1162,17,1,10,3,0,605244,.200,0,3,0,0,105,45,10,3.91,280,24,5,297,105,56,1,58,mlb,91,65,.325,0,26,.563,0,4,23,.279,0.89,15,.238,MLB,106,15
2,1,116,3,0,0,1,0,661269,.091,0,7,0,0,14,9,0,2.76,33,0,0,42,21,3,0,18,mlb,3,5,.091,0,3,.234,0,0,1,.158,3.60,0,.143,MLB,16,0
0,1,271,6,1,0,2,0,656546,.130,0,9,0,0,31,14,1,3.15,77,3,1,86,86,10,0,36,mlb,11,10,.143,0,4,.273,0,0,3,.217,3.60,1,.130,MLB,42,1
73,1,2947,54,8,22,1,12,663697,.265,4,1,0,0,159,76,14,4.16,604,70,37,708,168,160,1,149,mlb,267,141,.442,5,104,.808,2,26,75,.323,1.06,36,.366,MLB,198,61
0,1,40,0,0,0,1,0,656627,.091,0,0,0,0,5,2,1,3.64,11,1,1,11,6,1,0,3,mlb,2,2,.182,0,0,.273,0,0,1,.167,1.50,0,.091,MLB,8,1
0,1,2,0,0,0,1,0,669270,.000,0,0,0,0,0,0,0,2.00,1,0,0,1,12,0,0,1,mlb,0,0,.000,0,0,.000,0,0,0,.000,1.00,0,.000,MLB,1,0
6,1,327,8,0,0,1,2,664670,.250,0,0,0,0,15,15,1,3.55,84,13,2,92,44,21,0,26,mlb,23,22,.274,1,9,.589,0,2,1,.304,1.18,0,.315,MLB,37,2
7,1,535,7,1,0,1,0,641816,.080,0,16,0,0,50,26,2,3.59,125,3,2,149,81,10,0,70,mlb,12,11,.096,0,6,.231,0,1,1,.133,6.36,0,.135,MLB,80,2
9,1,814,9,1,2,3,0,501985,.115,0,16,0,0,100,26,2,3.36,217,13,6,242,115,25,0,80,mlb,37,30,.171,0,13,.321,0,0,10,.200,2.67,3,.150,MLB,106,8
140,1,6345,129,11,49,3,1,592567,.263,18,0,1,2,374,246,41,3.77,1511,208,75,1681,497,398,8,436,mlb,626,331,.414,3,164,.741,3,12,238,.316,1.32,59,.327,MLB,709,127
0,1,0,0,0,0,1,0,664294,,0,0,0,0,0,0,0,,0,0,0,0,4,0,0,0,mlb,0,0,,0,0,.000,0,0,0,,,0,,MLB,0,0
371,1,19759,318,34,199,3,21,519058,.248,41,8,3,8,834,782,111,3.88,4611,568,253,5087,1284,1144,25,1201,mlb,2006,1565,.435,10,541,.744,6,56,624,.261,0.77,250,.309,MLB,1946,458
108,1,6288,137,12,55,2,19,571980,.271,11,5,3,1,412,212,27,3.86,1487,190,89,1627,491,403,9,386,mlb,675,308,.454,12,201,.779,9,16,213,.338,1.25,75,.325,MLB,580,153
0,1,31,1,0,0,1,0,608360,.125,0,0,0,0,4,0,0,3.44,8,0,0,9,5,1,0,2,mlb,1,1,.125,0,2,.347,0,1,0,.250,2.00,0,.222,MLB,5,0
385,1,12312,261,29,106,4,94,502054,.263,15,3,2,1,712,403,83,4.03,2619,316,122,3052,792,690,11,757,mlb,1164,518,.444,26,455,.807,17,30,326,.322,1.46,112,.362,MLB,1066,245
32,1,1571,36,3,7,4,4,608703,.229,1,3,0,0,115,47,8,4.00,354,34,13,393,175,81,1,97,mlb,121,69,.342,2,42,.639,3,3,32,.318,1.41,11,.297,MLB,154,23
0,1,33,0,0,0,1,0,665665,.000,0,0,0,0,6,0,0,4.13,8,0,0,8,3,0,0,2,mlb,0,0,.000,0,0,.000,0,0,0,.000,2.00,0,.000,MLB,5,0
0,1,21,0,0,0,1,0,663574,.143,0,1,0,0,2,1,0,2.63,7,1,1,8,26,1,0,4,mlb,2,1,.286,0,1,.429,0,0,0,.200,4.00,0,.143,MLB,3,1
8,1,600,11,3,4,2,1,621011,.274,1,0,0,1,31,31,0,3.87,146,23,7,155,68,40,1,26,mlb,63,50,.432,1,20,.741,2,0,16,.321,0.52,5,.310,MLB,61,13
58,1,2902,66,17,16,1,20,669222,.237,4,0,0,1,166,86,15,3.71,704,74,34,782,205,167,0,183,mlb,257,192,.365,13,98,.663,4,5,66,.287,0.95,26,.298,MLB,238,54
110,1,7405,177,24,23,4,13,456781,.277,15,14,3,0,344,303,39,3.80,1784,270,86,1947,607,494,6,530,mlb,665,470,.373,4,184,.698,8,24,183,.329,1.13,47,.325,MLB,682,117
54,1,2281,50,4,17,1,1,663886,.291,6,0,3,0,125,88,14,3.95,508,76,29,577,182,148,1,135,mlb,228,106,.449,0,81,.815,0,9,82,.352,1.27,22,.366,MLB,225,46
0,1,10,0,0,0,4,0,519326,.000,0,0,0,0,2,0,0,3.33,3,0,0,3,299,0,0,0,mlb,0,1,.000,0,0,.000,0,0,0,.000,0.00,0,.000,MLB,0,0
1321,1,34040,501,55,336,1,80,458015,.299,48,0,13,9,1532,1100,160,4.08,6899,1083,446,8338,1952,2064,147,1837,mlb,3562,1644,.516,29,1132,.931,22,70,1087,.340,1.12,471,.414,MLB,2463,804
0,1,0,0,0,0,1,0,605521,,0,0,0,0,0,0,0,,0,0,0,0,23,0,0,0,mlb,0,0,,0,0,.000,0,0,0,,,0,,MLB,0,0
0,1,21,0,1,0,1,0,672356,.125,0,0,0,0,3,1,0,2.63,8,1,0,8,2,1,0,4,mlb,1,0,.125,0,2,.250,0,0,1,.200,4.00,0,.125,MLB,2,0
1,1,65,0,0,0,1,0,669456,.067,0,0,0,0,8,1,0,4.06,15,1,1,16,6,1,0,5,mlb,2,1,.133,0,0,.258,0,0,0,.143,5.00,0,.125,MLB,12,1
1,1,18,0,0,0,1,0,650644,.000,0,0,0,0,2,0,0,4.50,3,0,0,4,2,0,0,1,mlb,0,0,.000,0,0,.250,0,0,0,.000,1.00,0,.250,MLB,1,0
0,1,0,0,0,0,2,0,661403,,0,0,0,0,0,0,0,,0,0,0,0,6,0,0,0,mlb,0,0,,0,0,.000,0,0,0,,,0,,MLB,0,0
14,1,831,15,2,3,1,0,676391,.223,1,4,0,0,36,36,4,3.49,215,24,7,238,79,48,0,66,mlb,64,70,.298,2,27,.580,0,4,14,.254,0.94,9,.282,MLB,97,10
0,1,20,0,0,0,2,0,660853,.000,0,2,0,0,3,2,0,3.33,4,0,0,6,43,0,0,3,mlb,0,0,.000,0,0,.000,0,0,0,.000,3.00,0,.000,MLB,2,0
27,1,2063,52,0,15,2,24,665926,.261,5,4,0,0,125,65,5,3.83,487,53,22,538,172,127,1,127,mlb,202,117,.415,2,67,.731,4,15,61,.318,1.09,22,.316,MLB,202,41
4,1,378,13,2,2,1,0,660757,.333,1,0,0,0,20,11,1,3.71,96,16,10,102,24,32,0,29,mlb,48,16,.500,0,12,.863,0,1,13,.400,1.81,3,.363,MLB,35,12
101,1,4982,128,12,12,2,57,543238,.240,1,11,2,3,353,151,27,3.98,1128,109,47,1252,372,271,0,367,mlb,392,177,.348,23,155,.656,19,11,69,.339,2.07,31,.309,MLB,485,78
109,1,6944,86,12,64,2,11,595978,.192,14,21,1,5,514,240,38,3.82,1657,156,52,1817,547,318,11,392,mlb,566,488,.342,3,160,.588,2,16,192,.232,0.80,71,.247,MLB,746,118
0,1,4,0,0,0,1,0,656529,.000,0,0,0,0,1,0,0,4.00,1,0,0,1,1,0,0,0,mlb,0,0,.000,0,0,.000,0,0,0,,,0,.000,MLB,0,0
22,1,854,26,3,1,1,4,680757,.284,3,0,1,0,15,35,2,4.05,183,18,7,211,53,52,1,56,mlb,68,63,.372,2,27,.737,3,3,17,.300,0.89,8,.365,MLB,74,11
3,1,57,1,0,0,1,0,681526,.083,0,0,0,0,4,0,0,3.80,12,0,0,15,6,1,0,4,mlb,1,3,.083,0,0,.350,0,0,0,.125,1.33,0,.267,MLB,7,0
51,1,2935,53,6,10,4,4,571912,.203,5,5,4,2,203,87,14,3.90,686,67,39,752,252,139,1,192,mlb,212,173,.309,0,67,.570,2,5,68,.270,1.11,17,.261,MLB,290,51
0,1,6,0,0,0,1,0,663474,.500,0,0,0,0,0,0,0,3.00,2,1,0,2,1,1,0,1,mlb,1,0,.500,0,0,1.000,0,0,0,.500,1.00,0,.500,MLB,3,0
26,1,1652,34,4,8,1,3,680911,.234,9,0,0,0,101,53,9,3.80,397,43,27,435,118,93,1,111,mlb,144,101,.363,0,50,.643,0,3,50,.286,1.10,16,.280,MLB,174,35
0,1,10,0,0,0,1,0,669212,.000,0,0,0,0,2,0,0,5.00,2,0,0,2,1,0,0,0,mlb,0,0,.000,0,0,.000,0,0,0,,,0,.000,MLB,2,0
59,1,3070,68,7,24,2,4,647304,.257,3,0,0,1,152,116,20,3.76,747,95,44,816,248,192,3,233,mlb,310,173,.415,1,91,.729,1,5,97,.293,1.35,28,.314,MLB,299,69
3,1,270,6,0,0,1,1,680700,.286,1,0,0,0,10,6,0,4.03,63,11,5,67,27,18,0,18,mlb,23,18,.365,0,3,.679,0,0,10,.333,1.00,1,.313,MLB,27,5
0,1,2,0,0,0,1,0,668676,,0,1,0,0,0,0,0,2.00,0,0,0,1,1,0,0,1,mlb,0,0,,0,0,.000,0,0,0,,1.00,0,,MLB,0,0
1,1,124,2,1,0,2,0,615698,.111,0,4,0,0,6,9,0,3.88,27,1,0,32,24,3,0,22,mlb,3,0,.111,1,1,.254,0,0,1,.143,22.00,0,.143,MLB,18,0
438,1,17602,321,32,179,1,166,608070,.280,32,19,6,4,511,704,59,4.09,3780,525,266,4300,1042,1058,39,996,mlb,1925,1299,.509,38,651,.866,32,31,602,.282,0.77,208,.357,MLB,1526,477
0,1,0,0,0,0,1,0,670990,,0,0,0,0,0,0,0,,0,0,0,0,4,0,0,0,mlb,0,0,,0,0,.000,0,0,0,,,0,,MLB,0,0
148,1,6880,125,7,96,2,4,614177,.254,16,0,2,1,515,183,45,4.07,1522,160,58,1690,447,387,4,359,mlb,737,282,.484,1,199,.803,2,4,245,.314,1.27,101,.319,MLB,636,156
109,1,8744,251,22,45,2,70,642708,.272,11,5,3,3,482,346,45,3.64,2268,291,98,2404,602,617,6,679,mlb,910,518,.401,26,298,.708,30,11,223,.326,1.31,72,.307,MLB,919,173
0,1,0,0,0,0,1,0,680704,,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,mlb,0,0,,0,0,.000,0,0,0,,,0,,MLB,0,0
0,1,0,0,0,0,3,0,543766,,0,0,0,0,0,0,0,,0,0,0,0,245,0,0,0,mlb,0,0,,0,0,.000,0,0,0,,,0,,MLB,0,0
0,1,0,0,0,0,1,0,663986,,0,0,0,0,0,0,0,,0,0,0,0,4,0,0,0,mlb,0,0,,0,0,.000,0,0,0,,,0,,MLB,0,0
124,1,4746,100,12,5,2,57,664702,.250,6,2,2,1,211,147,15,4.18,1002,124,48,1136,320,251,0,249,mlb,322,299,.321,10,167,.654,4,2,71,.311,0.83,26,.332,MLB,397,57
0,1,7,0,0,0,2,0,453268,.333,0,0,0,0,1,0,0,2.33,3,1,0,3,80,1,0,1,mlb,1,0,.333,0,1,.667,0,0,0,.500,1.00,0,.333,MLB,0,0
6,1,366,5,1,1,1,0,621389,.167,1,7,0,0,37,13,2,3.98,78,6,2,92,91,13,0,25,mlb,18,13,.231,0,6,.454,0,0,7,.293,1.92,2,.224,MLB,35,3
389,1,21521,446,44,202,1,136,453568,.299,32,26,8,9,939,619,57,3.83,5079,786,276,5613,1331,1517,29,1351,mlb,2507,1360,.494,56,855,.850,54,87,669,.331,0.99,276,.357,MLB,1551,532
2,1,21,0,0,0,1,0,656248,.000,0,0,0,0,0,0,0,4.20,3,0,0,5,2,0,0,1,mlb,0,2,.000,0,1,.400,0,0,0,.000,0.50,0,.400,MLB,3,0
450,1,15356,240,38,167,3,44,592178,.278,23,0,4,7,923,511,44,3.93,3350,453,208,3911,901,931,21,666,mlb,1678,876,.501,20,603,.877,19,88,491,.335,0.76,231,.376,MLB,1382,394
11,1,1442,34,5,2,6,1,468504,.180,2,31,0,0,88,43,3,3.55,361,26,8,406,260,65,0,165,mlb,79,79,.219,0,16,.424,0,1,22,.231,2.09,5,.205,MLB,148,10
0,1,8,0,0,0,4,0,517008,.000,0,0,0,0,1,0,0,4.00,2,0,0,2,27,0,0,1,mlb,0,0,.000,0,0,.000,0,0,0,.000,1.00,0,.000,MLB,1,0
