bb,sport_id,np,hgnd,roe,hr,team_count,sb,player_id,avg,sf,sac,wo,hpop,so,gidp_opp,gidp,ppa,ab,hldr,d,tpa,g,h,ibb,go,sport_code,tb,ao,slg,cs,r,ops,t,hbp,rbi,babip,go_ao,hfly,obp,sport,lob,xbh
0,1,0,0,0,0,2,0,669459,,0,0,0,0,0,0,0,,0,0,0,0,4,0,0,0,mlb,0,0,,0,0,.000,0,0,0,,,0,,MLB,0,0
273,1,13529,362,24,106,1,33,444482,.283,21,1,5,1,706,521,64,3.71,3320,473,186,3642,935,938,16,1029,mlb,1532,709,.461,14,424,.801,45,27,454,.329,1.45,102,.340,MLB,1304,337
34,1,1065,13,0,2,1,1,672695,.215,0,2,0,0,53,32,2,4.23,214,24,8,252,74,46,2,61,mlb,66,56,.308,1,26,.636,3,2,15,.277,1.09,9,.328,MLB,83,13
0,1,3,0,0,0,3,0,664092,.000,0,0,0,0,1,0,0,3.00,1,0,0,1,23,0,0,0,mlb,0,0,.000,0,0,.000,0,0,0,,,0,.000,MLB,1,0
0,1,0,0,0,0,2,0,598287,,0,0,0,0,0,0,0,,0,0,0,0,39,0,0,0,mlb,0,0,,0,0,.000,0,0,0,,,0,,MLB,0,0
99,1,3888,72,10,17,1,19,668942,.248,7,2,0,0,229,111,12,4.13,828,97,43,942,237,205,2,216,mlb,307,187,.371,7,116,.698,4,2,78,.319,1.16,36,.327,MLB,338,64
1,1,331,8,1,0,3,1,592761,.172,0,10,0,0,42,18,3,3.31,87,6,3,100,88,15,0,35,mlb,18,6,.207,0,4,.407,0,2,4,.333,5.83,1,.200,MLB,35,3
71,1,3193,76,2,21,1,3,656976,.246,5,0,0,2,177,100,12,3.88,743,71,33,824,220,183,2,190,mlb,289,198,.389,0,95,.703,5,5,81,.295,0.96,34,.314,MLB,294,59
12,1,588,18,2,6,1,4,677950,.275,1,0,0,0,28,14,1,3.75,142,11,7,157,41,39,0,50,mlb,64,26,.451,0,24,.788,0,2,15,.303,1.92,10,.338,MLB,49,13
28,1,1840,30,3,5,1,4,657061,.211,2,2,0,1,129,58,8,3.92,436,51,18,469,154,92,1,127,mlb,137,92,.314,2,51,.573,6,1,35,.286,1.38,10,.259,MLB,202,29
0,1,21,1,0,0,1,0,670955,.200,0,0,0,0,2,0,0,4.20,5,0,0,5,14,1,0,2,mlb,1,0,.200,0,1,.400,0,0,0,.333,2.00,0,.200,MLB,2,0
60,1,2684,51,6,23,1,13,662139,.233,3,2,1,1,165,93,8,3.88,621,65,35,692,196,145,3,130,mlb,257,186,.414,4,89,.720,4,6,75,.280,0.70,28,.306,MLB,258,62
162,1,6609,107,9,71,2,10,572233,.243,7,0,0,0,407,193,30,3.96,1481,159,81,1670,454,360,8,331,mlb,662,391,.447,4,216,.772,4,20,199,.286,0.85,94,.325,MLB,679,156
3,1,439,10,1,1,2,0,596133,.167,1,13,0,0,50,18,1,3.51,108,6,0,125,84,18,0,43,mlb,21,12,.194,0,10,.382,0,0,8,.293,3.58,2,.188,MLB,57,1
0,1,0,0,0,0,2,0,605525,,0,0,0,0,0,0,0,,0,0,0,0,23,0,0,0,mlb,0,0,,0,0,.000,0,0,0,,,0,,MLB,0,0
1,1,61,1,0,0,1,0,642203,.063,0,1,0,0,11,2,0,3.39,16,0,0,18,20,1,0,5,mlb,1,0,.063,0,1,.180,0,0,0,.200,5.00,0,.118,MLB,8,0
