sport_id,bqs,league_short,hr,team_id,whip,pip,season,rs9,ab,qs,hldr,league,ip,ir,sport_code,er,ao,k9,slg,team_full,ops,team_abbrev,tbf,go_ao,sho,hfly,spct,wpct,end_date,bb,np,hgnd,bk,sb,bq,h9,player_id,avg,sf,sac,era,team_short,wp,hpop,so,gidp_opp,pgs,gidp,gf,ppa,hld,sv,cg,league_full,g,h,ibb,go,kbb,irs,l,gs,team_seq,svo,hr9,cs,r,s,w,babip,bb9,hb,pk,obp,sport,league_id,db,tr
1,0,National,4,109,1.29,16.0,2022,5.65,293,6,36,NL,78.0,0,mlb,30,80,7.62,.358,Arizona Diamondbacks,.673,ARI,325,0.96,0,11,65.2,.600,2022-06-23T00:00:00,29,1247,24,1,8,4,8.31,518876,.246,1,1,3.46,Arizona,4,1,66,39,89.1,5,0,3.84,0,0,0,National League,14,72,1,77,2.28,0,4,14,1.0,0,0.46,2,31,813,6,.304,3.35,1,1,.315,MLB,104,19,1
1,0,National,4,109,1.58,17.1,2022,3.91,102,0,18,NL,25.1,6,mlb,10,40,8.17,.441,Arizona Diamondbacks,.789,ARI,116,0.30,0,4,66.4,.429,2022-06-23T00:00:00,12,432,6,0,3,2,9.95,453178,.275,1,0,3.55,Arizona,3,0,23,19,*.*,2,9,3.72,8,4,0,National League,29,28,3,12,1.92,0,4,0,1.0,6,1.42,1,13,287,3,.316,4.26,0,0,.348,MLB,104,5,0
1,1,National,0,109,0.82,13.8,2022,6.75,97,0,7,NL,26.2,7,mlb,1,21,8.78,.216,Arizona Diamondbacks,.456,ARI,100,1.38,0,1,72.4,1.000,2022-06-23T00:00:00,1,369,13,1,1,7,7.09,573009,.216,0,0,0.34,Arizona,2,0,26,16,*.*,4,6,3.69,6,2,0,National League,29,21,0,29,26.00,3,0,0,1.0,3,0.00,0,1,267,1,.296,0.34,2,0,.240,MLB,104,0,0
1,2,National,0,109,1.47,18.8,2022,3.77,55,0,10,NL,14.1,1,mlb,7,19,8.79,.345,Arizona Diamondbacks,.679,ARI,63,0.47,0,0,59.9,.---,2022-06-23T00:00:00,6,269,5,0,3,2,9.42,656686,.273,2,0,4.40,Arizona,2,0,14,10,*.*,2,1,4.27,0,0,0,National League,5,15,0,9,2.33,0,0,0,1.0,0,0.00,0,9,161,0,.349,3.77,0,0,.333,MLB,104,2,1
1,2,National,2,109,1.63,15.6,2022,2.70,100,0,16,NL,23.1,2,mlb,15,26,4.63,.420,Arizona Diamondbacks,.788,ARI,106,1.12,0,1,65.7,.250,2022-06-23T00:00:00,5,364,16,0,1,4,12.73,453343,.330,0,0,5.79,Arizona,2,0,12,16,*.*,1,20,3.43,0,11,0,National League,27,33,0,29,2.40,0,6,0,1.0,13,0.77,1,21,239,2,.360,1.93,1,0,.368,MLB,104,3,0
1,0,National,2,109,0.64,13.7,2022,13.50,15,0,0,NL,4.2,4,mlb,2,7,9.64,.533,Arizona Diamondbacks,.721,ARI,16,0.14,0,2,65.6,.500,2022-06-23T00:00:00,1,64,0,0,0,0,3.86,641871,.133,0,0,3.86,Arizona,1,0,5,1,*.*,0,1,4.00,1,0,0,National League,6,2,0,1,5.00,2,1,0,1.0,1,3.86,0,2,42,1,.000,1.93,0,0,.188,MLB,104,0,0
1,1,National,0,109,1.02,14.9,2022,2.49,77,0,7,NL,21.2,13,mlb,4,21,7.89,.312,Arizona Diamondbacks,.589,ARI,83,0.95,0,5,67.1,1.000,2022-06-23T00:00:00,5,322,5,0,1,8,7.06,669459,.221,0,0,1.66,Arizona,1,0,19,8,322.0,3,2,3.88,5,0,0,National League,24,17,0,20,3.80,3,0,1,1.0,0,0.00,1,4,216,1,.293,2.08,1,1,.277,MLB,104,7,0
1,0,National,2,109,1.26,14.9,2022,2.61,70,0,9,NL,20.2,12,mlb,6,27,6.53,.386,Arizona Diamondbacks,.707,ARI,82,0.52,0,2,64.0,.500,2022-06-23T00:00:00,9,308,6,0,0,0,7.40,664092,.243,2,1,2.61,Arizona,2,0,15,13,*.*,1,5,3.76,2,0,0,National League,21,17,2,14,1.67,0,1,0,1.0,1,0.87,1,7,197,1,.273,3.92,0,1,.321,MLB,104,2,1
1,2,National,6,109,1.23,15.8,2022,3.60,108,0,6,NL,30.0,14,mlb,16,32,8.40,.444,Arizona Diamondbacks,.762,ARI,123,0.75,0,7,66.9,.667,2022-06-23T00:00:00,12,474,12,0,2,11,7.50,598287,.231,1,0,4.80,Arizona,1,0,28,16,*.*,3,1,3.85,10,0,0,National League,32,25,1,24,2.33,2,1,0,1.0,1,1.80,3,17,317,2,.253,3.60,2,0,.317,MLB,104,5,0
1,0,National,10,109,1.65,18.4,2022,2.38,133,0,8,NL,34.0,12,mlb,21,40,8.47,.519,Arizona Diamondbacks,.880,ARI,158,0.73,0,17,62.2,.000,2022-06-23T00:00:00,24,627,7,0,1,7,8.47,592761,.241,0,0,5.56,Arizona,0,0,32,19,627.0,2,6,3.97,3,0,0,National League,20,32,0,29,1.33,2,1,1,1.0,0,2.65,0,22,390,0,.242,6.35,1,1,.361,MLB,104,7,0
1,1,National,0,109,1.22,15.4,2022,8.00,34,0,2,NL,9.0,2,mlb,5,14,4.00,.265,Arizona Diamondbacks,.572,ARI,39,0.64,0,1,60.4,.---,2022-06-23T00:00:00,4,139,4,0,0,3,7.00,670955,.206,0,0,5.00,Arizona,0,0,4,10,*.*,2,1,3.56,0,0,0,National League,4,7,0,9,1.00,0,0,0,1.0,0,0.00,0,6,84,0,.233,4.00,1,0,.308,MLB,104,2,0
1,0,National,1,109,2.76,23.4,2022,2.16,45,0,11,NL,8.1,0,mlb,13,7,11.88,.600,Arizona Diamondbacks,1.079,ARI,48,1.00,0,2,64.1,.500,2022-06-23T00:00:00,3,195,7,0,0,3,21.60,596133,.444,0,0,14.04,Arizona,0,0,11,7,195.0,0,0,4.06,0,0,0,National League,4,20,0,7,3.67,0,1,1,1.0,0,1.08,0,13,125,1,.576,3.24,0,0,.479,MLB,104,4,0
1,1,National,3,109,1.32,16.5,2022,5.61,94,0,13,NL,25.2,11,mlb,12,26,5.96,.362,Arizona Diamondbacks,.689,ARI,107,1.12,0,4,59.0,.500,2022-06-23T00:00:00,12,424,5,0,1,4,7.71,605525,.234,0,0,4.21,Arizona,1,0,17,20,*.*,4,5,3.96,1,0,0,National League,26,22,0,29,1.42,3,1,0,1.0,0,1.05,2,13,250,1,.257,4.21,1,0,.327,MLB,104,3,0
