sport_id,league_short,hr,team_id,season,ab,hldr,league,sport_code,ao,slg,team_full,ops,team_abbrev,hbp,rbi,go_ao,hfly,lob,xbh,end_date,bb,np,hgnd,roe,sb,player_id,avg,sf,sac,wo,team_short,hpop,so,gidp_opp,gidp,ppa,d,tpa,league_full,g,h,ibb,go,team_seq,tb,cs,r,t,babip,obp,sport,league_id
1,National,0,109,2022,0,0,NL,mlb,0,.---,Arizona Diamondbacks,.000,ARI,0,0,-.--,0,0,0,2022-06-23T00:00:00,0,0,0,0,0,641871,.---,0,0,0,Arizona,0,0,0,0,-.--,0,0,National League,1,0,0,0,1.0,0,0,0,0,.---,.---,MLB,104
1,National,0,109,2022,0,0,NL,mlb,0,.---,Arizona Diamondbacks,.000,ARI,0,0,-.--,0,0,0,2022-06-23T00:00:00,0,0,0,0,0,669459,.---,0,0,0,Arizona,0,0,0,0,-.--,0,0,National League,2,0,0,0,1.0,0,0,0,0,.---,.---,MLB,104
1,National,8,109,2022,201,24,NL,mlb,65,.433,Arizona Diamondbacks,.736,ARI,1,27,0.55,12,80,23,2022-06-23T00:00:00,20,853,11,0,1,444482,.234,2,0,0,Arizona,0,55,36,2,3.81,14,224,National League,61,47,2,36,1.0,87,2,19,1,.279,.304,MLB,104
1,National,2,109,2022,183,21,NL,mlb,47,.290,Arizona Diamondbacks,.609,ARI,2,14,1.13,5,66,9,2022-06-23T00:00:00,28,936,12,0,1,672695,.208,0,2,0,Arizona,0,47,26,2,4.35,5,215,National League,63,38,0,53,1.0,53,1,21,2,.269,.319,MLB,104
1,National,0,109,2022,0,0,NL,mlb,0,.---,Arizona Diamondbacks,.000,ARI,0,0,-.--,0,0,0,2022-06-23T00:00:00,0,0,0,0,0,664092,.---,0,0,0,Arizona,0,0,0,0,-.--,0,0,National League,2,0,0,0,1.0,0,0,0,0,.---,.---,MLB,104
1,National,0,109,2022,0,0,NL,mlb,0,.---,Arizona Diamondbacks,.000,ARI,0,0,-.--,0,0,0,2022-06-23T00:00:00,0,0,0,0,0,598287,.---,0,0,0,Arizona,0,0,0,0,-.--,0,0,National League,1,0,0,0,1.0,0,0,0,0,.---,.---,MLB,104
1,National,4,109,2022,145,16,NL,mlb,44,.372,Arizona Diamondbacks,.696,ARI,1,16,0.75,7,52,9,2022-06-23T00:00:00,16,628,13,0,5,668942,.248,2,1,0,Arizona,0,35,28,1,3.81,4,165,National League,40,36,1,33,1.0,54,0,21,1,.296,.323,MLB,104
1,National,9,109,2022,208,12,NL,mlb,57,.351,Arizona Diamondbacks,.628,ARI,1,28,0.88,14,92,15,2022-06-23T00:00:00,24,958,14,1,1,656976,.192,2,0,0,Arizona,0,63,24,1,4.08,6,235,National League,63,40,1,50,1.0,73,0,20,0,.225,.277,MLB,104
1,National,6,109,2022,142,11,NL,mlb,26,.451,Arizona Diamondbacks,.788,ARI,2,15,1.92,10,49,13,2022-06-23T00:00:00,12,588,18,2,4,677950,.275,1,0,0,Arizona,0,28,14,1,3.75,7,157,National League,41,39,0,50,1.0,64,0,24,0,.303,.338,MLB,104
1,National,0,134,2022,63,7,NL,mlb,11,.222,Pittsburgh Pirates,.397,PIT,0,2,1.45,2,33,2,2022-06-05T00:00:00,0,278,2,0,1,657061,.175,0,0,0,Pittsburgh,0,25,6,1,4.41,1,63,National League,18,11,0,16,1.0,14,0,3,1,.289,.175,MLB,104
1,National,9,109,2022,236,22,NL,mlb,68,.407,Arizona Diamondbacks,.706,ARI,4,28,0.75,14,84,22,2022-06-23T00:00:00,18,1014,20,3,4,662139,.237,3,1,0,Arizona,0,65,31,3,3.87,13,262,National League,64,56,0,51,1.0,96,3,32,0,.285,.299,MLB,104
1,National,19,109,2022,245,14,NL,mlb,81,.490,Arizona Diamondbacks,.793,ARI,4,37,0.72,26,124,30,2022-06-23T00:00:00,30,1037,11,4,0,572233,.208,1,0,0,Arizona,0,56,30,4,3.70,10,280,National League,69,51,1,58,1.0,120,2,31,1,.187,.304,MLB,104
1,National,0,109,2022,0,0,NL,mlb,0,.---,Arizona Diamondbacks,.000,ARI,0,0,-.--,0,0,0,2022-06-23T00:00:00,0,0,0,0,0,596133,.---,0,0,0,Arizona,0,0,0,0,-.--,0,0,National League,1,0,0,0,1.0,0,0,0,0,.---,.---,MLB,104
1,National,0,109,2022,0,0,NL,mlb,0,.---,Arizona Diamondbacks,.000,ARI,0,0,-.--,0,0,0,2022-06-23T00:00:00,0,0,0,0,0,605525,.---,0,0,0,Arizona,0,0,0,0,-.--,0,0,National League,1,0,0,0,1.0,0,0,0,0,.---,.---,MLB,104
1,National,7,144,2022,160,20,NL,mlb,31,.456,Atlanta Braves,.823,ATL,6,18,1.26,11,57,15,2022-06-23T00:00:00,19,747,13,2,12,660670,.275,3,0,0,Atlanta,0,49,15,1,3.97,8,188,National League,41,44,1,39,1.0,73,3,26,0,.346,.367,MLB,104
1,National,3,144,2022,76,5,NL,mlb,19,.513,Atlanta Braves,.897,ATL,0,13,0.74,6,30,8,2022-06-23T00:00:00,8,361,14,0,0,606115,.329,2,0,2,Atlanta,0,20,12,3,4.20,5,86,National League,24,25,0,14,1.0,39,0,7,0,.400,.384,MLB,104
1,National,9,144,2022,105,12,NL,mlb,12,.619,Atlanta Braves,.983,ATL,0,18,2.50,11,46,17,2022-06-23T00:00:00,13,496,7,1,2,661388,.286,0,0,1,Atlanta,0,33,8,1,4.20,8,118,National League,31,30,0,30,1.0,65,0,19,0,.333,.364,MLB,104
1,National,10,144,2022,180,21,NL,mlb,47,.478,Atlanta Braves,.776,ATL,6,32,1.02,12,63,20,2022-06-23T00:00:00,5,719,13,1,0,518595,.256,0,0,0,Atlanta,0,39,21,5,3.76,10,191,National League,46,46,0,48,1.0,86,0,28,0,.275,.298,MLB,104
1,National,3,144,2022,89,12,NL,mlb,16,.337,Atlanta Braves,.597,ATL,0,6,1.44,1,31,5,2022-06-23T00:00:00,6,381,6,0,0,641513,.213,1,0,0,Atlanta,0,32,12,2,3.97,2,96,National League,26,19,0,23,1.0,30,0,9,0,.291,.260,MLB,104
1,National,8,144,2022,235,20,NL,mlb,74,.357,Atlanta Braves,.631,ATL,2,27,0.42,18,84,19,2022-06-23T00:00:00,21,1022,10,0,0,594807,.204,2,0,1,Atlanta,0,84,34,1,3.93,10,260,National League,68,48,0,31,1.0,84,0,32,1,.276,.273,MLB,104
1,National,0,137,2022,4,1,NL,mlb,3,.250,San Francisco Giants,.500,SF,0,2,0.00,0,1,0,2022-05-12T00:00:00,0,13,0,0,0,645801,.250,0,0,0,San Francisco,0,0,0,0,3.25,0,4,National League,1,1,0,0,2.0,1,0,0,0,.250,.250,MLB,104
1,American,0,136,2022,29,3,AL,mlb,4,.207,Seattle Mariners,.575,SEA,1,3,2.00,0,9,1,2022-06-10T00:00:00,8,170,2,0,0,645801,.172,0,0,0,Seattle,0,12,3,0,4.47,1,38,American League,16,5,0,8,1.0,6,0,1,0,.294,.368,MLB,103
1,National,0,144,2022,6,0,NL,mlb,2,.000,Atlanta Braves,.000,ATL,0,0,0.50,0,1,0,2022-06-23T00:00:00,0,22,0,0,0,594838,.000,0,0,0,Atlanta,0,3,0,0,3.67,0,6,National League,3,0,0,1,1.0,0,0,1,0,.000,.000,MLB,104
