sport_id,bqs,hr,whip,pip,rs9,ab,qs,hldr,ip,ir,sport_code,er,ao,k9,slg,ops,tbf,go_ao,sho,hfly,spct,wpct,bb,np,hgnd,bk,team_count,sb,bq,h9,player_id,avg,sf,sac,era,wp,hpop,so,gidp_opp,pgs,gidp,gf,ppa,hld,sv,cg,g,h,ibb,go,kbb,irs,l,gs,svo,hr9,cs,r,s,w,babip,bb9,hb,pk,obp,sport,db,tr
1,1,1,1.38,16.3,2.53,121,0,16,32.0,19,mlb,18,31,7.59,1.140,1.481,138,1.06,0,7,65.6,1.000,14,523,7,0,2,1,11,8.44,669459,.248,0,0,5.06,1,0,27,0,523.0,3,6,3.79,5,0,0,35,30,0,33,1.93,5,0,1,0,0.28,1,18,343,1,.312,3.94,3,1,.341,MLB,9,0
1,0,1,4.00,28.0,9.00,8,0,2,1.0,0,mlb,3,2,9.00,1.125,1.681,9,0.50,0,1,67.9,.---,0,28,1,0,1,0,0,36.00,444482,.500,0,0,27.00,0,0,1,,*.*,0,1,3.11,0,0,0,1,4,0,1,*.**,0,0,0,0,9.00,0,3,19,0,.500,0.00,1,0,.556,MLB,1,0
1,5,5,1.58,16.9,3.64,230,0,39,59.1,29,mlb,30,50,9.10,1.143,1.514,263,1.12,0,9,62.6,.500,27,1001,19,0,4,2,13,10.16,664092,.291,2,1,4.55,7,0,60,10,*.*,9,18,3.81,4,1,0,55,67,4,56,2.22,7,2,0,2,0.76,1,36,627,2,.371,4.10,3,1,.370,MLB,9,6
1,16,44,1.21,16.5,4.97,1027,0,113,277.0,127,mlb,126,285,9.32,1.129,1.436,1159,0.81,0,50,64.5,.536,103,4580,69,0,3,22,91,7.54,598287,.226,7,1,4.09,11,0,287,101,572.5,23,44,3.95,35,2,0,254,232,8,231,2.79,31,13,8,9,1.43,9,137,2955,15,.267,3.35,21,0,.307,MLB,45,3
1,13,80,1.33,17.9,4.58,1544,18,166,411.0,27,mlb,215,511,9.74,1.150,1.467,1776,0.50,0,106,63.4,.404,202,7356,70,1,3,19,42,7.51,592761,.222,8,5,4.71,9,1,445,121,114.9,14,16,4.14,5,0,0,123,343,8,258,2.20,4,28,64,2,1.75,10,224,4663,19,.256,4.42,16,8,.317,MLB,75,3
1,4,3,1.43,17.0,6.44,109,0,10,29.1,7,mlb,20,37,8.90,1.202,1.535,131,0.59,0,6,64.4,.000,16,500,10,1,2,1,9,7.98,670955,.239,3,2,6.14,1,0,29,,500.0,3,6,3.82,0,0,0,18,26,1,22,1.81,3,3,1,1,0.92,0,24,322,0,.288,4.91,1,0,.333,MLB,5,0
1,11,61,1.39,17.6,4.83,1674,25,232,423.1,3,mlb,227,429,9.25,1.103,1.431,1847,0.89,0,73,64.5,.400,138,7439,145,0,2,7,47,9.59,596133,.269,8,15,4.83,4,1,435,212,91.8,26,3,4.03,0,0,0,93,451,7,382,3.15,1,36,81,0,1.30,5,247,4798,24,.329,2.93,11,4,.328,MLB,93,12
1,10,15,1.27,16.8,5.35,589,0,63,156.1,71,mlb,66,168,8.46,1.127,1.431,664,0.88,0,24,62.3,.600,68,2629,42,0,2,4,23,7.48,605525,.221,2,1,3.80,12,1,147,59,*.*,12,36,3.96,11,2,0,141,130,5,147,2.16,25,6,0,4,0.86,3,75,1637,9,.268,3.91,3,0,.304,MLB,23,1
1,4,20,1.46,17.6,2.75,366,2,45,95.0,10,mlb,49,108,9.28,1.183,1.532,433,0.71,0,26,62.5,.500,51,1670,16,0,1,4,15,8.34,642203,.240,2,3,4.64,1,1,98,11,128.5,4,5,3.86,4,0,0,39,88,4,77,1.92,5,2,13,0,1.89,1,53,1043,2,.272,4.83,11,0,.349,MLB,20,1
1,9,25,1.26,17.1,5.30,863,17,86,231.0,0,mlb,92,195,8.73,1.127,1.432,973,1.33,0,35,61.4,.643,99,3948,71,0,1,10,28,7.48,666120,.222,2,5,3.58,13,0,224,17,91.8,20,0,4.06,0,0,0,43,192,2,259,2.26,0,10,43,0,0.97,3,97,2423,18,.271,3.86,4,0,.305,MLB,44,0
1,0,1,2.50,15.0,0.00,9,0,3,2.0,0,mlb,4,4,0.00,1.222,1.677,11,0.50,0,1,70.0,.---,1,30,0,0,1,0,0,18.00,606115,.444,1,0,18.00,0,0,0,3,*.*,0,2,2.73,0,0,0,2,4,0,2,0.00,0,0,0,0,4.50,0,4,21,0,.333,4.50,0,0,.455,MLB,1,0
1,47,145,1.34,16.5,4.48,3864,32,494,995.0,246,mlb,487,1040,8.11,1.101,1.423,4255,0.92,0,198,64.3,.425,313,16447,325,0,9,35,152,9.24,445926,.264,31,21,4.41,33,5,897,569,195.8,73,148,3.87,54,8,0,533,1022,29,961,2.87,101,61,84,28,1.31,22,523,10574,45,.307,2.83,26,2,.321,MLB,183,16
1,0,0,1.43,21.0,1.29,27,0,6,7.0,3,mlb,3,7,9.00,1.185,1.529,32,1.00,0,0,61.9,.---,3,147,1,0,2,0,2,9.00,672911,.259,1,0,3.86,0,0,7,2,*.*,1,4,4.59,0,0,0,7,7,0,7,2.33,0,0,0,0,0.00,0,3,91,0,.333,3.86,1,0,.344,MLB,2,0
1,5,4,1.57,17.2,1.22,141,2,16,37.0,2,mlb,21,41,7.30,1.206,1.555,170,0.98,0,6,60.8,.250,25,636,11,0,1,3,8,8.03,656353,.234,2,1,5.11,0,0,30,3,79.5,2,1,3.74,0,0,0,9,33,0,40,1.20,1,3,8,0,0.97,0,26,387,1,.266,6.08,1,0,.349,MLB,4,2
1,0,2,4.00,17.0,0.00,7,0,2,1.0,0,mlb,4,2,0.00,1.000,1.571,7,0.50,0,1,70.6,.---,0,17,1,0,1,0,0,36.00,641513,.571,0,0,36.00,0,0,0,0,*.*,0,1,2.43,0,0,0,1,4,0,1,-.--,0,0,0,0,18.00,0,4,12,0,.400,0.00,0,0,.571,MLB,0,0
